"Subnational gas consumption, Great Britain, 2011",,,,,,,,,,,,
"This table shows the gas consumption and the number of gas meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,
"Cells in the ""Notes"" columns have been left blank where there is no note for the given row.",,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,
Code,Country or region,Local authority,Notes,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters"
21UC,South East,Eastbourne,,40.5,0.6,41.0,485,198,684,"11,993","358,117","16,665"
24UD,South East,Eastleigh,,48.9,0.4,49.4,640,167,807,"13,079","385,729","16,347"
43UB,South East,Elmbridge,,50.9,1.5,52.4,984,303,"1,288","19,347","205,514","24,595"
43UC,South East,Epsom and Ewell,,28.4,0.3,28.7,496,102,599,"17,501","313,635","20,866"
24UE,South East,Fareham,,44.9,0.4,45.2,588,174,762,"13,112","452,608","16,843"
24UF,South East,Gosport,,31.5,0.2,31.7,359,109,468,"11,418","519,274","14,786"
29UG,South East,Gravesham,,38.1,0.3,38.4,525,367,892,"13,765","1,411,973","23,237"
43UD,South East,Guildford,,49.9,1.0,50.9,836,324,"1,160","16,754","334,806","22,812"
24UG,South East,Hart,,33.2,0.4,33.6,569,146,714,"17,114","371,270","21,243"
21UD,South East,Hastings,,36.5,0.4,36.8,450,96,546,"12,327","265,213","14,819"
24UH,South East,Havant,,49.0,0.4,49.3,621,141,763,"12,688","383,162","15,459"
45UF,South East,Horsham,,42.6,0.4,43.0,629,331,960,"14,788","750,633","22,336"
00MW,South East,Isle of Wight,,56.1,0.7,56.8,653,487,"1,141","11,640","692,823","20,064"
21UF,South East,Lewes,,35.7,0.3,36.1,483,105,588,"13,516","305,502","16,300"
29UH,South East,Maidstone,,56.4,0.6,57.1,793,240,"1,033","14,056","396,862","18,108"
00LC,South East,Medway,[note 1],103.2,0.8,104.0,"1,337",366,"1,703","12,956","454,661","16,380"
45UG,South East,Mid Sussex,,49.6,0.6,50.2,753,238,991,"15,189","389,935","19,753"
00MG,South East,Milton Keynes,,94.4,1.3,95.7,"1,267",658,"1,925","13,418","525,025","20,125"
43UE,South East,Mole Valley,,32.2,0.7,32.9,587,205,793,"18,219","311,341","24,100"
24UJ,South East,New Forest,[note 1],68.7,0.7,69.4,942,218,"1,160","13,724","309,584","16,722"
38UC,South East,Oxford,,49.6,1.3,51.0,715,760,"1,475","14,404","576,838","28,953"
00MR,South East,Portsmouth,,78.4,0.8,79.3,874,428,"1,303","11,147","528,279","16,439"
00MC,South East,Reading,,56.6,0.8,57.4,772,356,"1,127","13,636","428,851","19,629"
43UF,South East,Reigate and Banstead,,53.0,0.8,53.9,910,233,"1,143","17,164","275,995","21,213"
21UG,South East,Rother,,32.1,0.3,32.4,473,256,729,"14,740","758,860","22,474"
43UG,South East,Runnymede,,29.1,0.6,29.7,477,243,721,"16,400","382,652","24,230"
24UL,South East,Rushmoor,,34.3,0.5,34.8,478,250,727,"13,914","474,208","20,876"
29UK,South East,Sevenoaks,,39.2,0.6,39.9,668,136,804,"17,025","226,309","20,187"
29UL,South East,Shepway,,40.4,0.4,40.8,522,131,653,"12,938","307,632","16,009"
00MD,South East,Slough,,44.3,0.6,44.9,601,436,"1,037","13,560","769,835","23,118"
11UE,South East,South Bucks,,25.4,0.7,26.1,516,147,663,"20,329","218,555","25,434"
38UD,South East,South Oxfordshire,,43.7,0.6,44.4,687,226,913,"15,709","362,104","20,580"
00MS,South East,Southampton,,81.1,0.9,82.0,933,564,"1,497","11,510","645,521","18,264"
43UH,South East,Spelthorne,,36.9,0.4,37.3,553,131,684,"14,997","337,790","18,346"
43UJ,South East,Surrey Heath,,32.9,0.5,33.4,589,207,796,"17,912","403,778","23,841"
29UM,South East,Swale,[note 1],52.2,0.4,52.6,684,"2,267","2,951","13,102","5,346,913","56,087"
43UK,South East,Tandridge,,30.5,0.6,31.1,559,123,682,"18,335","215,485","21,966"
24UN,South East,Test Valley,,35.0,0.5,35.5,473,232,704,"13,491","501,314","19,841"
29UN,South East,Thanet,,58.7,0.6,59.3,747,359,"1,106","12,712","644,518","18,646"
29UP,South East,Tonbridge and Malling,[note 1],44.6,0.5,45.1,658,231,889,"14,764","427,578","19,715"
29UQ,South East,Tunbridge Wells,,36.8,0.6,37.4,587,168,754,"15,943","283,435","20,178"
38UE,South East,Vale of White Horse,[note 1],41.9,0.6,42.5,623,273,896,"14,856","457,657","21,071"
43UL,South East,Waverley,,44.8,0.9,45.7,813,207,"1,020","18,143","232,195","22,314"
21UH,South East,Wealden,,47.3,0.5,47.8,721,115,836,"15,246","223,794","17,478"
00MB,South East,West Berkshire,[note 1],44.6,0.6,45.2,656,523,"1,179","14,702","935,335","26,091"
38UF,South East,West Oxfordshire,,32.9,0.4,33.3,493,201,694,"14,956","532,312","20,828"
24UP,South East,Winchester,,37.9,0.6,38.5,562,218,780,"14,816","374,932","20,252"
00ME,South East,Windsor and Maidenhead,,53.7,1.2,54.9,928,337,"1,264","17,274","291,962","23,048"
43UM,South East,Woking,,34.8,0.6,35.4,570,166,736,"16,383","290,073","20,806"
00MF,South East,Wokingham,,57.4,0.6,58.0,944,236,"1,180","16,445","377,169","20,337"
45UH,South East,Worthing,,41.6,0.4,42.1,544,249,793,"13,068","575,382","18,857"
11UF,South East,Wycombe,,59.3,0.8,60.0,987,227,"1,213","16,649","296,884","20,215"
00HA,South West,Bath and North East Somerset,,63.8,0.8,64.6,896,295,"1,191","14,044","361,189","18,431"
00HN,South West,Bournemouth,,72.1,0.9,73.0,906,293,"1,199","12,565","324,041","16,418"
00HB,South West,"Bristol, City of",[note 1],164.8,1.9,166.7,"2,014",783,"2,797","12,222","408,995","16,781"
23UB,South West,Cheltenham,,48.2,0.7,48.9,608,308,916,"12,600","452,134","18,728"
19UC,South West,Christchurch,,20.7,0.2,20.9,265,45,310,"12,792","278,583","14,841"
00HE,South West,Cornwall,,126.7,1.4,128.1,"1,406","1,005","2,411","11,099","715,466","18,824"
23UC,South West,Cotswold,,23.3,0.4,23.7,353,162,516,"15,152","417,664","21,737"
18UB,South West,East Devon,,45.7,0.4,46.1,578,146,724,"12,641","365,270","15,702"
19UD,South West,East Dorset,,33.0,0.3,33.3,506,66,572,"15,332","243,116","17,200"
18UC,South West,Exeter,[note 1],45.1,0.6,45.7,490,331,820,"10,870","542,772","17,962"
23UD,South West,Forest of Dean,,20.5,0.2,20.7,269,271,540,"13,104","1,356,521","26,060"
23UE,South West,Gloucester,,48.9,0.5,49.4,580,265,845,"11,859","511,527","17,108"
40UB,South West,Mendip,,35.4,0.4,35.8,455,214,669,"12,861","542,029","18,684"
18UD,South West,Mid Devon,,19.0,0.2,19.2,220,158,378,"11,591","788,039","19,739"
18UE,South West,North Devon,,29.6,0.3,29.9,360,138,499,"12,185","410,982","16,663"
19UE,South West,North Dorset,,19.6,0.3,19.9,257,121,378,"13,093","441,965","19,002"
00HC,South West,North Somerset,,78.2,0.7,78.9,"1,013",589,"1,602","12,962","845,141","20,315"
00HG,South West,Plymouth,,104.1,0.8,104.9,"1,071",482,"1,553","10,289","591,492","14,802"
00HP,South West,Poole,,62.0,0.7,62.7,815,329,"1,144","13,137","484,883","18,238"
19UG,South West,Purbeck,,17.6,0.2,17.8,222,80,302,"12,634","378,583","16,966"
40UC,South West,Sedgemoor,,34.4,0.3,34.7,406,186,592,"11,800","593,801","17,068"
00HD,South West,South Gloucestershire,[note 1],93.0,0.8,93.9,"1,166",613,"1,780","12,537","727,409","18,956"
18UG,South West,South Hams,,24.0,0.3,24.3,294,227,522,"12,260","905,808","21,502"
40UD,South West,South Somerset,,45.1,0.5,45.6,540,390,929,"11,965","833,002","20,397"
23UF,South West,Stroud,,40.2,0.5,40.7,563,292,855,"13,988","591,955","20,982"
00HX,South West,Swindon,,82.4,0.9,83.2,"1,042",496,"1,538","12,651","570,632","18,478"
40UE,South West,Taunton Deane,,37.8,0.4,38.2,452,152,604,"11,970","363,847","15,820"
18UH,South West,Teignbridge,[note 1],42.7,0.4,43.1,507,259,766,"11,878","664,731","17,790"
23UG,South West,Tewkesbury,,30.5,0.4,30.8,389,232,621,"12,755","663,066","20,135"
00HH,South West,Torbay,,54.0,0.7,54.7,648,202,850,"12,013","290,740","15,553"
18UK,South West,Torridge,,15.3,0.1,15.4,172,33,205,"11,211","288,485","13,257"
18UL,South West,West Devon,,12.8,0.1,12.9,163,94,257,"12,779","760,637","19,912"
19UH,South West,West Dorset,,30.3,0.4,30.7,366,136,502,"12,062","333,531","16,343"
40UF,South West,West Somerset,,8.1,0.1,8.2,97,147,244,"11,956","1,694,417","29,826"
19UJ,South West,Weymouth and Portland,[note 1],27.4,0.3,27.7,308,77,385,"11,234","298,426","13,924"
00HY,South West,Wiltshire,[note 1],135.7,1.9,137.5,"1,825","1,251","3,076","13,451","668,316","22,364"
00NA,Wales,Isle of Anglesey,,15.4,0.2,15.6,191,237,428,"12,395","1,460,571","27,458"
00NC,Wales,Gwynedd,,29.1,0.5,29.6,352,192,544,"12,092","418,712","18,394"
00NE,Wales,Conwy,,44.7,0.6,45.3,586,159,745,"13,108","267,332","16,440"
00NG,Wales,Denbighshire,,32.7,0.4,33.1,427,174,601,"13,068","446,033","18,159"
00NJ,Wales,Flintshire,[note 1],51.5,0.5,52.0,688,883,"1,572","13,361","1,903,671","30,232"
00NL,Wales,Wrexham,,49.1,0.5,49.6,637,"1,273","1,909","12,966","2,613,115","38,491"
00NN,Wales,Powys,,27.1,0.5,27.6,356,172,529,"13,147","372,047","19,173"
00NQ,Wales,Ceredigion,,8.4,0.2,8.6,109,79,187,"12,969","452,352","21,900"
00NS,Wales,Pembrokeshire,[note 1],33.1,0.4,33.4,418,97,515,"12,646","274,750","15,414"
00NU,Wales,Carmarthenshire,,49.5,0.5,50.0,678,310,988,"13,688","646,806","19,754"
00NX,Wales,Swansea,,98.7,0.9,99.5,"1,359",642,"2,001","13,776","729,217","20,101"
00NZ,Wales,Neath Port Talbot,,59.2,0.5,59.7,822,412,"1,234","13,883","848,954","20,669"
00PB,Wales,Bridgend,,58.8,0.5,59.2,818,498,"1,317","13,928","1,048,678","22,225"
00PD,Wales,Vale of Glamorgan,[note 1],49.1,0.4,49.5,675,288,963,"13,747","811,170","19,471"
00PT,Wales,Cardiff,[note 1],135.1,1.5,136.7,"1,787","1,291","3,078","13,222","855,067","22,524"
00PF,Wales,Rhondda Cynon Taf,,103.1,0.8,103.9,"1,473",573,"2,046","14,292","695,120","19,691"
00PH,Wales,Merthyr Tydfil,,25.7,0.2,25.9,387,131,518,"15,047","558,823","19,974"
00PK,Wales,Caerphilly,,74.7,0.5,75.2,"1,073",301,"1,375","14,373","557,619","18,273"
00PL,Wales,Blaenau Gwent,,31.1,0.3,31.4,475,185,660,"15,236","610,844","20,975"
00PM,Wales,Torfaen,,38.9,0.3,39.2,514,391,905,"13,211","1,162,825","23,058"
00PP,Wales,Monmouthshire,[note 1],29.3,0.3,29.6,404,356,760,"13,822","1,130,663","25,721"
00PR,Wales,Newport,,59.3,0.6,59.8,767,"1,049","1,816","12,939","1,849,557","30,342"
00QA,Scotland,Aberdeen City,[note 1],92.5,1.6,94.1,"1,394","1,078","2,471","15,070","658,629","26,254"
00QB,Scotland,Aberdeenshire,[note 1],59.3,0.8,60.1,"1,049",374,"1,423","17,678","481,490","23,665"
00QC,Scotland,Angus,,36.2,0.4,36.7,564,357,921,"15,570","796,581","25,111"
00QD,Scotland,Argyll and Bute,,19.9,0.3,20.2,337,139,476,"16,973","403,540","23,555"
00QF,Scotland,Clackmannanshire,[note 1],21.4,0.2,21.6,321,847,"1,168","14,995","3,684,648","54,041"
00QH,Scotland,Dumfries and Galloway,,41.8,0.5,42.3,629,591,"1,220","15,029","1,202,198","28,827"
00QJ,Scotland,Dundee City,,55.4,0.8,56.2,777,648,"1,425","14,032","786,944","25,364"
00QK,Scotland,East Ayrshire,,52.0,0.5,52.5,792,341,"1,132","15,228","692,329","21,576"
00QL,Scotland,East Dunbartonshire,,41.4,0.5,41.8,795,148,944,"19,215","328,423","22,555"
00QM,Scotland,East Lothian,,37.0,0.4,37.4,546,214,759,"14,760","580,399","20,333"
00QN,Scotland,East Renfrewshire,,33.7,0.4,34.2,672,113,785,"19,928","262,769","22,978"
00QP,Scotland,City of Edinburgh,,204.2,3.1,207.3,"2,802","1,994","4,796","13,721","652,204","23,142"
00QQ,Scotland,Falkirk,[note 1],60.9,0.6,61.5,941,865,"1,805","15,451","1,457,865","29,365"
00QR,Scotland,Fife,[note 1],154.4,1.6,155.9,"2,386","3,084","5,470","15,456","1,966,854","35,079"
00QS,Scotland,Glasgow City,,241.5,3.7,245.2,"3,039","2,565","5,604","12,580","700,595","22,853"
00QT,Scotland,Highlands,[note 1],37.6,0.5,38.1,586,659,"1,245","15,602","1,204,020","32,660"
00QU,Scotland,Inverclyde,,32.1,0.5,32.6,496,199,695,"15,449","425,611","21,326"
00QW,Scotland,Midlothian,,32.8,0.3,33.1,498,158,655,"15,197","451,417","19,795"
00QX,Scotland,Moray,,28.4,0.4,28.8,444,"1,220","1,664","15,637","3,072,712","57,781"
00QY,Scotland,North Ayrshire,,56.7,0.5,57.3,811,"1,356","2,167","14,299","2,572,144","37,834"
00QZ,Scotland,North Lanarkshire,,134.7,1.4,136.1,"2,066",983,"3,049","15,335","689,438","22,396"
00RB,Scotland,Perth and Kinross,,41.5,0.7,42.2,686,320,"1,006","16,524","471,121","23,837"
00RC,Scotland,Renfrewshire,,74.1,0.9,75.1,"1,083",609,"1,692","14,604","648,850","22,537"
00QE,Scotland,Scottish Borders,,34.7,0.5,35.2,520,279,799,"14,971","578,455","22,704"
00RE,Scotland,South Ayrshire,,44.6,0.6,45.2,707,563,"1,270","15,859","1,019,920","28,134"
00RF,Scotland,South Lanarkshire,,114.6,1.3,116.0,"1,906",708,"2,614","16,632","524,925","22,541"
00RG,Scotland,Stirling,,29.9,0.5,30.4,511,775,"1,286","17,106","1,501,604","42,327"
00QG,Scotland,West Dunbartonshire,,39.7,0.4,40.1,526,295,821,"13,246","808,486","20,486"
00RH,Scotland,West Lothian,,69.3,0.7,70.0,"1,075",699,"1,774","15,521","981,708","25,349"
