"Subnational gas consumption, Great Britain, 2010",,,,,,,,,,,,
"This table shows the gas consumption and the number of gas meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,
"Cells in the ""Notes"" columns have been left blank where there is no note for the given row.",,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,
Code,Country or region,Local authority,Notes,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters"
24UC,South East,East Hampshire,,39.8,0.5,40.3,655,194,849,"16,450","397,090","21,069"
21UC,South East,Eastbourne,,40.3,0.6,40.9,525,215,740,"13,025","371,324","18,095"
24UD,South East,Eastleigh,,48.6,0.5,49.1,684,181,865,"14,056","394,492","17,613"
43UB,South East,Elmbridge,,50.5,1.5,52.1,"1,037",313,"1,350","20,514","203,252","25,914"
43UC,South East,Epsom and Ewell,,28.3,0.3,28.6,528,113,642,"18,692","333,415","22,433"
24UE,South East,Fareham,,44.7,0.4,45.1,631,148,779,"14,116","373,463","17,281"
24UF,South East,Gosport,,31.5,0.2,31.7,385,114,499,"12,237","491,875","15,732"
29UG,South East,Gravesham,,38.0,0.3,38.2,560,369,929,"14,759","1,382,861","24,315"
43UD,South East,Guildford,,49.6,1.0,50.6,883,375,"1,258","17,793","370,080","24,841"
24UG,South East,Hart,,33.2,0.4,33.6,595,151,746,"17,959","370,902","22,229"
21UD,South East,Hastings,,36.3,0.4,36.7,485,112,598,"13,379","292,781","16,306"
24UH,South East,Havant,,48.8,0.4,49.2,665,150,816,"13,643","391,890","16,590"
45UF,South East,Horsham,,42.3,0.5,42.7,672,329,"1,001","15,898","715,239","23,424"
00MW,South East,Isle of Wight,,55.8,0.7,56.5,704,504,"1,209","12,620","691,907","21,379"
21UF,South East,Lewes,,35.5,0.4,35.8,519,118,637,"14,637","314,354","17,764"
29UH,South East,Maidstone,,55.9,0.6,56.5,842,251,"1,093","15,056","397,195","19,334"
00LC,South East,Medway,[note 1],102.7,0.8,103.5,"1,433",366,"1,798","13,949","439,955","17,368"
45UG,South East,Mid Sussex,,49.3,0.7,49.9,802,247,"1,048","16,264","370,783","20,991"
00MG,South East,Milton Keynes,,93.5,1.3,94.8,"1,315",687,"2,003","14,067","525,549","21,124"
43UE,South East,Mole Valley,,32.0,0.7,32.7,622,222,844,"19,423","318,707","25,791"
24UJ,South East,New Forest,[note 1],68.5,0.7,69.2,"1,007",225,"1,232","14,707","301,728","17,801"
38UC,South East,Oxford,,49.6,1.3,50.9,746,804,"1,550","15,045","620,498","30,468"
00MR,South East,Portsmouth,,78.2,0.8,79.0,947,479,"1,426","12,116","571,795","18,045"
00MC,South East,Reading,,56.3,0.8,57.1,806,510,"1,316","14,319","602,014","23,030"
43UF,South East,Reigate and Banstead,,52.7,0.9,53.5,962,238,"1,200","18,260","271,567","22,409"
21UG,South East,Rother,,31.9,0.3,32.3,509,269,778,"15,953","775,491","24,120"
43UG,South East,Runnymede,,28.9,0.7,29.6,506,256,762,"17,475","377,353","25,723"
24UL,South East,Rushmoor,,34.2,0.5,34.7,500,260,760,"14,621","498,581","21,886"
29UK,South East,Sevenoaks,,39.0,0.6,39.6,708,142,850,"18,160","226,372","21,449"
29UL,South East,Shepway,,40.1,0.4,40.5,562,141,703,"14,023","323,070","17,339"
00MD,South East,Slough,,44.1,0.6,44.6,635,528,"1,163","14,417","926,451","26,065"
11UE,South East,South Bucks,,25.2,0.7,25.9,540,160,700,"21,464","224,903","27,049"
38UD,South East,South Oxfordshire,,43.4,0.6,44.0,713,224,937,"16,441","349,845","21,283"
00MS,South East,Southampton,,80.8,0.9,81.7,"1,012",594,"1,606","12,514","666,811","19,646"
43UH,South East,Spelthorne,,36.8,0.4,37.2,595,143,738,"16,154","347,545","19,812"
43UJ,South East,Surrey Heath,,32.7,0.6,33.2,617,206,822,"18,885","373,340","24,766"
29UM,South East,Swale,[note 1],51.9,0.4,52.3,735,"2,380","3,116","14,162","5,510,341","59,523"
43UK,South East,Tandridge,,30.3,0.6,30.9,589,133,722,"19,448","217,526","23,359"
24UN,South East,Test Valley,,34.6,0.5,35.1,495,238,733,"14,313","503,325","20,893"
29UN,South East,Thanet,,58.4,0.6,59.0,801,375,"1,176","13,726","652,503","19,945"
29UP,South East,Tonbridge and Malling,[note 1],44.8,0.6,45.3,708,240,947,"15,807","421,114","20,893"
29UQ,South East,Tunbridge Wells,,36.5,0.6,37.1,620,175,796,"16,999","278,986","21,439"
38UE,South East,Vale of White Horse,[note 1],41.8,0.6,42.4,653,279,932,"15,641","461,128","21,992"
43UL,South East,Waverley,,44.7,0.9,45.6,851,220,"1,071","19,055","232,781","23,488"
21UH,South East,Wealden,,46.8,0.5,47.4,766,121,887,"16,349","222,352","18,718"
00MB,South East,West Berkshire,[note 1],45.5,0.6,46.1,712,486,"1,199","15,641","834,439","25,994"
38UF,South East,West Oxfordshire,,32.7,0.4,33.1,512,173,686,"15,657","442,232","20,708"
24UP,South East,Winchester,,37.8,0.6,38.4,592,232,823,"15,660","382,568","21,454"
00ME,South East,Windsor and Maidenhead,,53.5,1.2,54.7,983,354,"1,337","18,376","291,564","24,438"
43UM,South East,Woking,,34.7,0.6,35.3,604,168,773,"17,427","286,489","21,913"
00MF,South East,Wokingham,,57.3,0.6,57.9,982,252,"1,234","17,155","401,622","21,318"
45UH,South East,Worthing,,41.4,0.4,41.9,592,202,794,"14,295","465,195","18,970"
11UF,South East,Wycombe,,59.1,0.8,59.9,"1,045",244,"1,290","17,696","310,992","21,547"
00HA,South West,Bath and North East Somerset,,63.0,0.9,63.9,954,315,"1,269","15,133","366,669","19,853"
00HN,South West,Bournemouth,,71.5,0.9,72.4,970,314,"1,284","13,570","335,322","17,723"
00HB,South West,"Bristol, City of",[note 1],163.6,2.0,165.5,"2,159",832,"2,991","13,196","421,519","18,067"
23UB,South West,Cheltenham,,48.1,0.7,48.8,661,268,929,"13,757","377,741","19,055"
19UC,South West,Christchurch,,20.7,0.2,20.9,286,47,333,"13,830","280,638","15,955"
00HE,South West,Cornwall,,125.2,1.4,126.6,"1,501","1,027","2,528","11,984","739,933","19,964"
23UC,South West,Cotswold,,23.0,0.4,23.4,372,141,513,"16,161","346,616","21,890"
18UB,South West,East Devon,,45.3,0.4,45.8,629,142,771,"13,886","330,962","16,858"
19UD,South West,East Dorset,,32.8,0.3,33.1,534,73,607,"16,268","246,497","18,318"
18UC,South West,Exeter,[note 1],44.5,0.6,45.2,536,350,885,"12,030","553,087","19,603"
23UD,South West,Forest of Dean,,20.3,0.2,20.5,289,281,569,"14,212","1,335,973","27,744"
23UE,South West,Gloucester,,48.6,0.6,49.1,629,280,909,"12,953","505,354","18,517"
40UB,South West,Mendip,,35.0,0.4,35.4,486,214,700,"13,874","509,107","19,757"
18UD,South West,Mid Devon,,18.8,0.2,19.0,239,141,380,"12,712","628,974","19,974"
18UE,South West,North Devon,,29.3,0.3,29.6,386,134,520,"13,169","385,223","17,549"
19UE,South West,North Dorset,,19.3,0.3,19.6,271,125,396,"14,011","436,925","20,201"
00HC,South West,North Somerset,,77.5,0.7,78.2,"1,083",583,"1,665","13,972","811,434","21,294"
00HG,South West,Plymouth,,103.4,0.9,104.3,"1,174",501,"1,675","11,352","580,509","16,061"
00HP,South West,Poole,,61.8,0.7,62.5,871,361,"1,232","14,084","501,904","19,692"
19UG,South West,Purbeck,,17.5,0.2,17.7,237,105,342,"13,575","476,451","19,336"
40UC,South West,Sedgemoor,,33.9,0.3,34.2,435,218,653,"12,847","649,372","19,098"
00HD,South West,South Gloucestershire,[note 1],92.6,0.9,93.5,"1,259",672,"1,931","13,601","768,253","20,666"
18UG,South West,South Hams,,23.9,0.3,24.1,317,243,560,"13,277","941,278","23,193"
40UD,South West,South Somerset,,44.6,0.5,45.1,585,408,992,"13,102","823,494","21,995"
23UF,South West,Stroud,,39.9,0.5,40.4,602,270,872,"15,101","504,726","21,582"
00HX,South West,Swindon,,81.7,0.9,82.6,"1,109",558,"1,667","13,572","616,996","20,173"
40UE,South West,Taunton Deane,,37.5,0.4,38.0,492,163,654,"13,097","378,176","17,232"
18UH,South West,Teignbridge,[note 1],42.5,0.4,43.0,557,290,847,"13,090","709,942","19,710"
23UG,South West,Tewkesbury,,30.3,0.4,30.7,419,247,666,"13,840","645,594","21,733"
00HH,South West,Torbay,,53.8,0.7,54.6,708,202,910,"13,156","281,289","16,684"
18UK,South West,Torridge,,15.2,0.1,15.3,187,33,221,"12,310","283,347","14,396"
18UL,South West,West Devon,,12.6,0.1,12.7,176,115,291,"13,980","921,568","22,897"
19UH,South West,West Dorset,,31.7,0.4,32.1,420,142,562,"13,249","336,427","17,496"
40UF,South West,West Somerset,,8.0,0.1,8.1,103,149,253,"12,960","1,557,224","31,329"
19UJ,South West,Weymouth and Portland,[note 1],27.3,0.3,27.5,334,91,425,"12,263","335,677","15,446"
00HY,South West,Wiltshire,[note 1],135.1,1.9,137.0,"1,950","1,334","3,284","14,431","699,778","23,964"
00NA,Wales,Isle of Anglesey,,15.4,0.2,15.5,201,252,453,"13,077","1,491,403","29,163"
00NC,Wales,Gwynedd,,28.8,0.5,29.3,376,193,569,"13,023","421,718","19,411"
00NE,Wales,Conwy,,44.6,0.6,45.2,632,167,799,"14,186","278,664","17,693"
00NG,Wales,Denbighshire,,32.6,0.4,33.0,468,180,648,"14,345","462,814","19,645"
00NJ,Wales,Flintshire,[note 1],51.2,0.5,51.7,747,935,"1,682","14,590","1,858,616","32,520"
00NL,Wales,Wrexham,,49.0,0.5,49.5,694,"1,339","2,033","14,156","2,704,238","41,040"
00NN,Wales,Powys,,27.0,0.5,27.4,388,190,578,"14,381","396,776","21,054"
00NQ,Wales,Ceredigion,,8.3,0.2,8.5,118,74,192,"14,234","416,416","22,696"
00NS,Wales,Pembrokeshire,[note 1],33.3,0.4,33.7,458,108,566,"13,764","288,506","16,816"
00NU,Wales,Carmarthenshire,,49.2,0.5,49.7,730,320,"1,050","14,833","638,988","21,124"
00NX,Wales,Swansea,,98.1,0.9,99.0,"1,450",850,"2,301","14,785","938,311","23,236"
00NZ,Wales,Neath Port Talbot,,59.3,0.5,59.8,887,425,"1,312","14,958","821,362","21,927"
00PB,Wales,Bridgend,,58.6,0.5,59.1,870,506,"1,376","14,846","997,868","23,276"
00PD,Wales,Vale of Glamorgan,[note 1],49.0,0.4,49.3,726,304,"1,030","14,823","846,057","20,871"
00PT,Wales,Cardiff,[note 1],134.7,1.6,136.3,"1,915","1,374","3,289","14,211","876,497","24,131"
00PF,Wales,Rhondda Cynon Taf,,102.7,0.9,103.6,"1,572",587,"2,160","15,304","685,344","20,847"
00PH,Wales,Merthyr Tydfil,,25.7,0.2,25.9,412,143,555,"16,055","616,369","21,435"
00PK,Wales,Caerphilly,,74.7,0.6,75.2,"1,152",312,"1,463","15,429","543,664","19,453"
00PL,Wales,Blaenau Gwent,,31.0,0.3,31.4,506,179,685,"16,287","577,812","21,840"
00PM,Wales,Torfaen,,38.7,0.4,39.1,560,401,960,"14,459","1,109,456","24,578"
00PP,Wales,Monmouthshire,[note 1],29.1,0.3,29.4,439,380,819,"15,110","1,241,224","27,879"
00PR,Wales,Newport,,59.0,0.6,59.6,841,"1,109","1,950","14,245","1,848,239","32,702"
00QA,Scotland,Aberdeen City,[note 1],91.4,1.7,93.1,"1,438",926,"2,364","15,734","552,334","25,402"
00QB,Scotland,Aberdeenshire,[note 1],58.3,0.8,59.1,"1,077",330,"1,407","18,475","430,868","23,822"
00QC,Scotland,Angus,,35.9,0.4,36.3,593,347,941,"16,551","775,018","25,910"
00QD,Scotland,Argyll and Bute,,19.6,0.3,19.9,347,136,483,"17,756","390,418","24,273"
00QF,Scotland,Clackmannanshire,[note 1],21.2,0.2,21.5,339,835,"1,174","15,988","3,378,782","54,702"
00QH,Scotland,Dumfries and Galloway,,41.9,0.5,42.4,677,538,"1,215","16,154","1,043,038","28,649"
00QJ,Scotland,Dundee City,,54.0,0.9,54.9,804,611,"1,416","14,891","715,175","25,801"
00QK,Scotland,East Ayrshire,,51.6,0.5,52.1,831,365,"1,196","16,101","728,085","22,964"
00QL,Scotland,East Dunbartonshire,,41.2,0.5,41.7,833,147,981,"20,219","313,563","23,526"
00QM,Scotland,East Lothian,,36.8,0.4,37.2,583,228,812,"15,836","577,819","21,799"
00QN,Scotland,East Renfrewshire,,33.4,0.5,33.9,696,115,811,"20,822","254,617","23,941"
00QP,Scotland,City of Edinburgh,,202.8,3.1,205.9,"2,948","1,948","4,896","14,534","624,188","23,773"
00QQ,Scotland,Falkirk,[note 1],60.5,0.6,61.1,986,840,"1,827","16,309","1,386,747","29,907"
00QR,Scotland,Fife,[note 1],153.4,1.6,155.0,"2,503","3,779","6,281","16,315","2,355,718","40,525"
00QS,Scotland,Glasgow City,,239.4,3.7,243.1,"3,194","2,592","5,786","13,340","700,661","23,802"
00QT,Scotland,Highlands,[note 1],37.8,0.6,38.3,635,602,"1,238","16,823","1,095,376","32,304"
00QU,Scotland,Inverclyde,,32.0,0.5,32.5,513,205,718,"16,025","424,180","22,088"
00QW,Scotland,Midlothian,,32.5,0.4,32.9,524,170,694,"16,109","461,875","21,096"
00QX,Scotland,Moray,,28.1,0.4,28.5,471,"1,148","1,619","16,794","2,746,386","56,856"
00QY,Scotland,North Ayrshire,,56.6,0.5,57.1,857,"1,419","2,276","15,153","2,617,577","39,844"
00QZ,Scotland,North Lanarkshire,,134.1,1.5,135.5,"2,162",986,"3,148","16,130","675,004","23,229"
00RB,Scotland,Perth and Kinross,,41.0,0.7,41.7,727,324,"1,051","17,737","451,396","25,193"
00RC,Scotland,Renfrewshire,,73.2,1.0,74.1,"1,129",643,"1,771","15,426","658,991","23,890"
00QE,Scotland,Scottish Borders,,34.4,0.5,34.9,553,313,865,"16,064","607,570","24,789"
00RE,Scotland,South Ayrshire,,44.2,0.6,44.7,740,557,"1,297","16,764","957,189","28,997"
00RF,Scotland,South Lanarkshire,,112.9,1.4,114.3,"1,964",768,"2,732","17,391","542,667","23,891"
00RG,Scotland,Stirling,,29.3,0.5,29.9,537,814,"1,351","18,317","1,502,572","45,265"
00QG,Scotland,West Dunbartonshire,,39.2,0.4,39.6,550,293,843,"14,017","785,391","21,282"
00RH,Scotland,West Lothian,,68.6,0.7,69.4,"1,117",880,"1,997","16,278","1,198,592","28,789"
