"Subnational electricity consumption, Great Britain, 2010",,,,,,,,,,,,
"This table shows the electricity consumption and the number of electric meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,
Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
24UC,South East,East Hampshire,49.9,4.7,54.6,246,233,478,"4,927","49,127","8,760","5,272"
21UC,South East,Eastbourne,47.2,4.6,51.9,178,208,386,"3,761","45,063","7,440","4,040"
24UD,South East,Eastleigh,52.5,3.4,55.9,216,323,539,"4,109","94,553","9,633","4,210"
43UB,South East,Elmbridge,54.9,5.0,60.0,292,290,581,"5,308","57,796","9,699","5,537"
43UC,South East,Epsom and Ewell,30.2,2.1,32.3,135,108,243,"4,487","52,223","7,543","4,639"
24UE,South East,Fareham,48.0,3.2,51.3,199,311,510,"4,144","96,298","9,950","4,337"
24UF,South East,Gosport,36.6,2.2,38.8,145,147,292,"3,962","67,306","7,525","4,204"
29UG,South East,Gravesham,41.5,3.0,44.4,171,219,390,"4,135","73,797","8,781","4,298"
43UD,South East,Guildford,55.9,5.3,61.2,271,387,658,"4,847","73,468","10,756","5,051"
24UG,South East,Hart,36.8,2.8,39.6,178,186,364,"4,851","66,778","9,207","5,048"
21UD,South East,Hastings,42.0,4.1,46.1,165,168,333,"3,928","40,908","7,230","4,107"
24UH,South East,Havant,53.6,3.3,56.8,218,218,436,"4,063","66,954","7,666","4,299"
45UF,South East,Horsham,55.8,5.6,61.5,278,285,563,"4,976","50,705","9,157","5,117"
00MW,South East,Isle of Wight,70.0,7.3,77.3,287,287,574,"4,092","39,364","7,419","4,704"
21UF,South East,Lewes,43.4,3.9,47.3,192,153,345,"4,427","38,962","7,291","4,599"
29UH,South East,Maidstone,65.0,5.9,70.9,289,413,702,"4,453","69,824","9,906","4,611"
00LC,South East,Medway,109.7,7.2,116.9,444,464,908,"4,052","64,181","7,770","4,245"
45UG,South East,Mid Sussex,58.3,5.2,63.5,272,266,538,"4,668","50,744","8,469","4,822"
00MG,South East,Milton Keynes,101.3,7.3,108.6,421,"1,020","1,441","4,160","139,657","13,276","4,359"
43UE,South East,Mole Valley,35.7,3.8,39.5,185,258,442,"5,167","68,680","11,198","5,177"
24UJ,South East,New Forest,80.9,7.1,88.0,352,437,790,"4,352","61,632","8,971","4,616"
38UC,South East,Oxford,57.8,6.4,64.1,230,679,909,"3,990","106,878","14,182","4,191"
00MR,South East,Portsmouth,88.9,7.2,96.1,333,665,998,"3,744","92,611","10,385","3,976"
00MC,South East,Reading,66.5,6.3,72.8,274,538,813,"4,125","85,308","11,159","4,461"
43UF,South East,Reigate and Banstead,57.1,4.9,61.9,269,346,615,"4,711","71,149","9,927","4,915"
21UG,South East,Rother,44.2,4.6,48.8,207,162,370,"4,694","35,059","7,575","5,123"
43UG,South East,Runnymede,33.4,3.0,36.4,162,286,448,"4,840","96,507","12,317","5,009"
24UL,South East,Rushmoor,37.7,2.8,40.5,152,289,440,"4,017","103,531","10,863","4,232"
29UK,South East,Sevenoaks,48.1,4.8,52.9,254,231,486,"5,293","48,189","9,190","5,471"
29UL,South East,Shepway,48.8,4.8,53.6,202,267,469,"4,136","55,208","8,743","4,360"
00MD,South East,Slough,51.0,4.4,55.4,205,712,917,"4,027","161,538","16,551","4,136"
11UE,South East,South Bucks,27.7,2.8,30.5,152,215,367,"5,497","78,100","12,053","5,803"
38UD,South East,South Oxfordshire,58.3,5.9,64.1,301,484,785,"5,169","82,664","12,248","5,587"
00MS,South East,Southampton,103.5,8.6,112.1,420,626,"1,045","4,055","72,427","9,323","4,357"
43UH,South East,Spelthorne,41.1,3.1,44.2,181,402,583,"4,395","131,759","13,204","4,621"
43UJ,South East,Surrey Heath,34.8,2.8,37.6,170,267,437,"4,882","96,804","11,616","5,103"
29UM,South East,Swale,57.3,4.8,62.2,243,784,"1,027","4,237","161,783","16,525","4,438"
43UK,South East,Tandridge,34.6,3.4,38.0,179,134,313,"5,185","39,221","8,249","5,433"
24UN,South East,Test Valley,50.1,5.2,55.3,242,312,554,"4,840","59,804","10,022","5,136"
29UN,South East,Thanet,64.9,5.4,70.3,248,326,574,"3,818","60,272","8,162","4,254"
29UP,South East,Tonbridge and Malling,49.1,4.1,53.2,225,329,554,"4,576","80,825","10,408","4,731"
29UQ,South East,Tunbridge Wells,47.6,5.4,53.0,234,298,532,"4,918","55,561","10,042","5,076"
38UE,South East,Vale of White Horse,52.4,5.0,57.4,246,476,722,"4,698","94,632","12,574","5,018"
43UL,South East,Waverley,51.7,5.0,56.7,259,196,456,"5,015","39,427","8,036","5,321"
21UH,South East,Wealden,64.4,6.5,70.9,328,217,546,"5,100","33,306","7,698","5,293"
00MB,South East,West Berkshire,65.9,6.7,72.6,342,579,921,"5,188","86,164","12,676","5,534"
38UF,South East,West Oxfordshire,47.1,5.0,52.1,231,291,522,"4,911","58,089","10,023","5,390"
24UP,South East,Winchester,49.4,5.7,55.1,238,426,664,"4,821","74,807","12,059","5,150"
00ME,South East,Windsor and Maidenhead,61.5,6.3,67.8,301,461,762,"4,896","72,925","11,230","5,210"
43UM,South East,Woking,40.4,3.3,43.7,195,335,529,"4,821","101,198","12,126","5,001"
00MF,South East,Wokingham,62.6,4.0,66.6,299,406,704,"4,768","102,026","10,574","5,009"
45UH,South East,Worthing,48.2,4.1,52.3,200,212,412,"4,147","51,458","7,874","4,342"
11UF,South East,Wycombe,70.5,6.5,77.0,338,399,737,"4,797","61,116","9,577","5,033"
00HA,South West,Bath and North East Somerset,78.2,8.4,86.6,336,395,731,"4,299","46,967","8,440","4,628"
00HN,South West,Bournemouth,86.9,8.7,95.6,346,407,753,"3,978","46,786","7,877","4,352"
00HB,South West,"Bristol, City of",191.1,17.4,208.5,719,"1,203","1,922","3,762","68,952","9,216","4,027"
23UB,South West,Cheltenham,53.4,4.1,57.6,213,326,540,"3,994","79,081","9,377","4,273"
19UC,South West,Christchurch,23.4,1.9,25.3,92,120,212,"3,934","62,219","8,364","4,307"
00HE,South West,Cornwall,257.3,31.7,288.9,"1,300","1,422","2,722","5,053","44,931","9,421","5,706"
23UC,South West,Cotswold,40.6,5.7,46.4,224,199,423,"5,509","34,884","9,130","6,233"
18UB,South West,East Devon,63.9,7.0,70.9,280,240,520,"4,385","34,378","7,340","4,789"
19UD,South West,East Dorset,39.0,3.4,42.4,181,148,329,"4,640","43,379","7,758","4,829"
18UC,South West,Exeter,51.1,5.2,56.3,193,399,592,"3,774","76,589","10,513","4,014"
23UD,South West,Forest of Dean,36.2,3.2,39.4,177,256,433,"4,902","79,751","10,998","5,218"
23UE,South West,Gloucester,52.3,3.8,56.1,211,374,586,"4,036","99,022","10,437","4,278"
00HF,South West,Isles of Scilly,1.1,0.5,1.6,8,8,16,"6,879","17,674","10,019","8,102"
40UB,South West,Mendip,48.8,5.9,54.8,221,328,548,"4,522","55,201","10,017","4,841"
18UD,South West,Mid Devon,33.4,4.7,38.0,165,203,368,"4,954","43,597","9,691","5,118"
18UE,South West,North Devon,42.8,6.4,49.2,193,279,471,"4,503","43,640","9,589","4,870"
19UE,South West,North Dorset,31.0,3.8,34.7,147,137,284,"4,758","36,282","8,177","5,221"
00HC,South West,North Somerset,91.8,7.8,99.6,380,416,796,"4,142","53,195","7,993","4,367"
00HG,South West,Plymouth,115.4,8.1,123.6,431,683,"1,114","3,734","83,878","9,016","4,028"
00HP,South West,Poole,68.0,5.9,73.9,274,442,717,"4,036","74,893","9,701","4,390"
19UG,South West,Purbeck,22.7,2.7,25.4,96,238,334,"4,220","87,568","13,139","4,920"
40UC,South West,Sedgemoor,50.9,5.4,56.2,236,370,607,"4,647","69,177","10,792","4,921"
00HD,South West,South Gloucestershire,109.3,7.2,116.6,467,779,"1,246","4,269","107,679","10,687","4,386"
18UG,South West,South Hams,43.5,6.0,49.5,212,270,482,"4,874","45,249","9,740","5,818"
40UD,South West,South Somerset,73.6,8.2,81.8,357,453,810,"4,852","55,426","9,903","5,180"
23UF,South West,Stroud,50.3,4.3,54.6,238,310,548,"4,735","71,476","10,031","5,071"
00HX,South West,Swindon,91.2,6.1,97.2,359,812,"1,170","3,934","133,975","12,039","4,160"
40UE,South West,Taunton Deane,49.2,4.9,54.1,215,262,478,"4,379","53,082","8,826","4,625"
18UH,South West,Teignbridge,58.1,6.2,64.3,259,254,513,"4,465","41,089","7,984","4,846"
23UG,South West,Tewkesbury,35.9,3.0,38.9,162,336,498,"4,499","113,609","12,795","4,669"
00HH,South West,Torbay,63.8,6.0,69.8,256,233,489,"4,006","39,035","7,005","4,378"
18UK,South West,Torridge,29.8,4.5,34.3,143,134,277,"4,791","29,942","8,069","5,189"
18UL,South West,West Devon,24.4,3.7,28.1,120,125,244,"4,912","33,613","8,696","5,350"
19UH,South West,West Dorset,50.7,7.2,57.9,240,252,492,"4,728","35,050","8,491","5,464"
40UF,South West,West Somerset,17.5,2.6,20.2,87,155,242,"4,960","58,657","12,014","5,544"
19UJ,South West,Weymouth and Portland,31.2,2.8,34.1,118,116,233,"3,764","40,996","6,854","4,203"
00HY,South West,Wiltshire,206.7,21.0,227.8,"1,013","1,249","2,262","4,901","59,335","9,930","5,263"
00NA,Wales,Isle of Anglesey,34.3,3.7,38.0,167,153,320,"4,864","41,790","8,426","5,463"
00NC,Wales,Gwynedd,60.7,8.5,69.2,287,299,587,"4,733","35,374","8,478","5,513"
00NE,Wales,Conwy,55.1,6.1,61.3,223,210,432,"4,039","34,258","7,058","4,377"
00NG,Wales,Denbighshire,43.2,4.6,47.8,187,207,394,"4,341","44,855","8,254","4,602"
00NJ,Wales,Flintshire,64.5,5.1,69.6,274,739,"1,013","4,251","144,016","14,553","4,319"
00NL,Wales,Wrexham,57.7,4.5,62.2,237,815,"1,052","4,101","183,223","16,926","4,181"
00NN,Wales,Powys,60.4,10.9,71.3,284,342,626,"4,700","31,302","8,777","4,881"
00NQ,Wales,Ceredigion,32.9,5.5,38.4,172,205,378,"5,233","37,645","9,843","5,479"
00NS,Wales,Pembrokeshire,58.5,8.0,66.6,251,870,"1,121","4,283","108,581","16,842","4,751"
00NU,Wales,Carmarthenshire,81.6,9.7,91.3,323,580,903,"3,963","59,787","9,893","4,122"
00NX,Wales,Swansea,108.8,7.3,116.1,384,609,993,"3,527","83,486","8,554","3,740"
00NZ,Wales,Neath Port Talbot,64.0,3.9,67.9,226,"1,197","1,423","3,531","305,570","20,945","3,753"
00PB,Wales,Bridgend,60.7,4.5,65.2,218,414,633,"3,599","91,742","9,705","3,761"
00PD,Wales,Vale of Glamorgan,55.0,3.8,58.8,216,335,550,"3,926","87,872","9,361","4,053"
00PT,Wales,Cardiff,148.7,11.2,159.9,546,"1,141","1,687","3,669","102,234","10,551","3,873"
00PF,Wales,Rhondda Cynon Taf,106.0,6.7,112.7,363,453,815,"3,422","67,184","7,233","3,654"
00PH,Wales,Merthyr Tydfil,26.2,1.7,27.9,89,136,225,"3,396","82,060","8,070","3,696"
00PK,Wales,Caerphilly,76.7,4.9,81.6,269,395,665,"3,509","81,173","8,147","3,636"
00PL,Wales,Blaenau Gwent,31.7,2.1,33.9,105,173,279,"3,322","80,820","8,224","3,475"
00PM,Wales,Torfaen,39.7,2.6,42.3,139,291,430,"3,507","110,449","10,173","3,619"
00PP,Wales,Monmouthshire,39.8,4.3,44.1,171,228,399,"4,292","53,553","9,042","4,497"
00PR,Wales,Newport,62.8,4.2,67.0,230,664,894,"3,657","159,685","13,339","3,784"
00QA,Scotland,Aberdeen City,123.0,7.9,130.9,476,838,"1,314","3,867","106,006","10,039","4,604"
00QB,Scotland,Aberdeenshire,120.3,12.9,133.2,636,721,"1,357","5,286","55,753","10,183","6,114"
00QC,Scotland,Angus,61.1,5.3,66.4,286,293,580,"4,683","55,316","8,725","5,566"
00QD,Scotland,Argyll and Bute,58,7,65,305,238,542,"5,223","35,434","8,336","7,542"
00QF,Scotland,Clackmannanshire,25,1,26,96,237,333,"3,856","173,046","12,666","4,213"
00QH,Scotland,Dumfries and Galloway,82,10,92,371,571,942,"4,543","54,952","10,235","5,464"
00QJ,Scotland,Dundee City,87.3,5.2,92.4,355,447,801,"4,067","86,660","8,672","5,135"
00QK,Scotland,East Ayrshire,57.6,4.4,62.0,211,283,494,"3,666","64,784","7,971","3,928"
00QL,Scotland,East Dunbartonshire,46.4,2.4,48.9,199,180,378,"4,274","74,289","7,741","4,585"
00QM,Scotland,East Lothian,48.0,3.3,51.3,199,264,462,"4,137","79,018","9,003","4,661"
00QN,Scotland,East Renfrewshire,39.2,1.7,40.9,172,113,285,"4,375","65,879","6,964","4,634"
00QP,Scotland,City of Edinburgh,256.0,17.9,273.9,933,"1,681","2,614","3,644","93,919","9,541","4,201"
00RJ,Scotland,Na h-Eileanan Siar,18.5,1.9,20.5,94,63,157,"5,061","32,492","7,652","7,589"
00QQ,Scotland,Falkirk,77.0,4.5,81.5,310,465,776,"4,031","103,151","9,516","4,526"
00QR,Scotland,Fife,178.8,12.7,191.5,683,940,"1,623","3,821","74,148","8,477","4,254"
00QS,Scotland,Glasgow City,331.2,23.6,354.8,"1,141","1,922","3,062","3,445","81,405","8,632","3,999"
00QT,Scotland,Highland,137.3,15.1,152.4,736,"1,022","1,758","5,359","67,822","11,539","7,248"
00QU,Scotland,Inverclyde,43.3,2.6,45.8,165,202,367,"3,819","78,419","8,017","4,426"
00QW,Scotland,Midlothian,36.7,2.5,39.2,143,196,339,"3,899","78,603","8,656","4,119"
00QX,Scotland,Moray,46.0,4.4,50.4,205,325,530,"4,469","73,003","10,515","5,159"
00QY,Scotland,North Ayrshire,72.0,4.9,76.9,277,507,784,"3,846","103,994","10,202","4,441"
00QZ,Scotland,North Lanarkshire,154.5,8.6,163.2,600,907,"1,507","3,882","104,901","9,236","4,127"
00RA,Scotland,Orkney Islands,13.7,2.2,15.9,83,66,149,"6,081","29,998","9,396","8,606"
00RB,Scotland,Perth and Kinross,79.4,8.1,87.5,408,422,830,"5,135","51,968","9,479","6,303"
00RC,Scotland,Renfrewshire,90.0,5.1,95.2,333,552,885,"3,696","107,456","9,297","4,126"
00QE,Scotland,Scottish Borders,64.5,7.6,72.2,282,322,605,"4,376","42,260","8,379","5,409"
00RD,Scotland,Shetland Islands,17.0,1.9,18.8,104,96,199,"6,099","51,189","10,567","10,472"
00RE,Scotland,South Ayrshire,58.0,4.9,62.9,230,306,536,"3,971","62,061","8,519","4,500"
00RF,Scotland,South Lanarkshire,152.6,9.7,162.4,661,705,"1,366","4,334","72,353","8,413","4,785"
00RG,Scotland,Stirling,42.7,4.4,47.1,207,320,527,"4,856","72,466","11,184","5,536"
00QG,Scotland,West Dunbartonshire,47.6,2.9,50.6,169,236,404,"3,545","81,045","8,000","4,014"
00RH,Scotland,West Lothian,77.2,4.9,82.1,303,581,885,"3,928","118,565","10,777","4,137"
